Ticker,HitRate,AvgReturn,TotalReturn,MaxDrawdown
LII,0.25132275132275134,0.00020247072671589683,0.1528653986705021,0.23379879113553148
GS,0.24603174603174602,0.00020231652167180774,0.15274897386221484,0.16179095748850436
WDAY,0.2698412698412698,0.0002020573570302565,0.15255330455784366,0.43287366281414763
HSIC,0.2671957671957672,0.0002019005764802974,0.15243493524262453,0.12482441074506259
FDS,0.2976190476190476,0.00020057830770270647,0.1514366223155434,0.3466717252130283
APTV,0.25132275132275134,0.0001991347399822701,0.15034672868661392,0.34455639434896196
CHRW,0.28174603174603174,0.00019694989280901986,0.14869716907081,0.16221355340371796
FAST,0.28174603174603174,0.000194075575701654,0.14652705965474877,0.14125141600340324
PHM,0.26851851851851855,0.000191127657553199,0.14430138145266524,0.43092296435210686
TRMB,0.25396825396825395,0.00018920508736048686,0.14284984095716757,0.26625965617527836
WM,0.29365079365079366,0.0001873958345258023,0.14148385506698075,0.126467254906573
